season,school,player_name,class_year,position,gp,gs
2023,Air Force,Kaleb Holcomb,Sr.,OT,13,10
2023,Air Force,Mason Carlan,Sr.,OT,12,2
2023,Air Force,Wesley Ndago,Sr.,OL,12,12
2023,Air Force,Ethan Jackman,Sr.,OL,12,10
2023,Air Force,Adam Karas,Sr.,OT,12,12
2023,Air Force,Thor Paglialong,Sr.,OL,12,12
2023,Air Force,Mark Hiestand,Sr.,OL,12,2
2023,Akron,Nate Williams,Jr.,OL,11,11
2023,Akron,Ronan Chambers,Jr.,OL,12,12
2023,Akron,Colin Lyons,Jr.,OL,12,4
2023,Akron,Keylen Davis,So.,OL,6,4
2023,Akron,Brian Kilbane,So.,OL,7,3
2023,Akron,Tyhler Williams,So.,OL,12,12
2023,Akron,Ben Frank,Sr.,OL,11,9
2023,Akron,Joshua Blanchard,Jr.,OL,6,4
2023,Akron,Keon Kindred,So.,OL,5,1
2023,Alabama,Jaeden Roberts,So.,OL,12,9
2023,Alabama,Seth McLaughlin,Sr.,OL,14,14
2023,Alabama,Tyler Booker,So.,OL,13,13
2023,Alabama,TJ Ferguson,So.,OL,6,1
2023,Alabama,JC Latham,Jr.,OL,14,14
2023,Alabama,Kadyn Proctor,Fr.,OL,14,14
2023,Alabama,Darrian Dalcourt,Sr.,OL,9,5
2023,App State,Bucky Williams,Sr.,OL,14,14
2023,App State,Isaiah Helms,Sr.,OL,14,14
2023,App State,Damion Daley,Sr.,OL,14,14
2023,App State,Markell Samuel,So.,OL,14,4
2023,App State,Thornton Gentry,So.,OL,14,9
2023,App State,Logan Ridolph,Fr.,OL,1,1
2023,App State,Jayden Ramsey,So.,OL,5,1
2023,App State,Jack Murphy,So.,OL,14,14
2023,Arizona,Joseph Borjon,Jr.,OL,6,3
2023,Arizona,Josh Baker,Jr.,OL,13,13
2023,Arizona,Leif Magnuson,Jr.,OL,11,5
2023,Arizona,Jordan Morgan,Sr.,OL,12,12
2023,Arizona,Jonah Savaiinaea,So.,OL,13,13
2023,Arizona,Wendell Moe Jr.,So.,OL,13,13
2023,Arizona,Raymond Pulido,Fr.,OL,6,5
2023,Arizona,Sam Langi,Sr.,OL,9,1
2023,Arizona St.,Aaron Frost,Sr.,OL,8,3
2023,Arizona St.,Sione Finau,Sr.,OL,5,4
2023,Arizona St.,Cade Briggs,Jr.,OL,10,6
2023,Arizona St.,Leif Fautanu,Jr.,OL,12,12
2023,Arizona St.,Emmit Bohle,Sr.,OL,1,1
2023,Arizona St.,Sean Na'a,Fr.,OL,9,7
2023,Arizona St.,Max Iheanachor,Jr.,OL,6,5
2023,Arizona St.,Joey Ramos,Sr.,OL,11,11
2023,Arizona St.,Bram Walden,So.,OL,6,5
2023,Arizona St.,Isaia Glass,Jr.,OL,3,3
2023,Arkansas,Andrew Chamblee,Fr.,OL,12,8
2023,Arkansas,Brady Latham,Sr.,OL,11,11
2023,Arkansas,Ty'Kieast Crawford,Sr.,OL,9,4
2023,Arkansas,Patrick Kutas,So.,OL,9,9
2023,Arkansas,Devon Manuel,So.,OL,9,4
2023,Arkansas,Beaux Limmer,Sr.,OL,12,12
2023,Arkansas,Joshua Braun,Jr.,OL,12,12
2023,Arkansas St.,Noah Smith,So.,OL,12,6
2023,Arkansas St.,Elijah Zollicoffer,So.,OL,9,7
2023,Arkansas St.,Mehki Butler,Jr.,OL,13,13
2023,Arkansas St.,Makilan Thomas,So.,OL,13,13
2023,Arkansas St.,Jacob Bayer,Jr.,OL,12,12
2023,Arkansas St.,Hamilton Hall,Sr.,OL,6,1
2023,Arkansas St.,Jalen Cunningham,Sr.,OL,13,13
2023,Army West Point,Connor Finucane,Sr.,OL,12,12
2023,Army West Point,David Hoyt,Jr.,OL,5,4
2023,Army West Point,Lucas Scott,Jr.,OL,12,11
2023,Army West Point,Jordyn Law,Jr.,OL,5,1
2023,Army West Point,Jackson Filipowicz,Sr.,OL,12,12
2023,Army West Point,Brady Small,Fr.,OL,12,12
2023,Army West Point,Shayne Buckingham,Sr.,OL,11,8
2023,Auburn,Izavion Miller,Jr.,OL,13,13
2023,Auburn,Connor Lew,Fr.,OL,11,6
2023,Auburn,Avery Jones,Sr.,OL,8,7
2023,Auburn,Jaden Muskrat,Jr.,OL,13,1
2023,Auburn,Kameron Stutts,Sr.,OL,13,13
2023,Auburn,Gunner Britton,Sr.,OL,13,13
2023,Auburn,Dillon Wade,Jr.,OL,13,11
2023,BYU,Brayden Keim,Sr.,OL,11,8
2023,BYU,Connor Pay,Jr.,OL,10,10
2023,BYU,Sonny Makasini,So.,OL,1,1
2023,BYU,Kingsley Suamataia,So.,OL,10,10
2023,BYU,Caleb Etienne,Jr.,OL,11,4
2023,BYU,Weylin Lapuaho,Fr.,OL,10,10
2023,BYU,Ian Fitzgerald,Jr.,OL,8,1
2023,BYU,Paul Maile,Jr.,OL,11,11
2023,Ball St.,Brandon Malkow,Sr.,OL,10,5
2023,Ball St.,Cole Mosier,So.,OL,9,1
2023,Ball St.,Jon Mucciolo,Sr.,OL,10,10
2023,Ball St.,Corey Stewart,Sr.,OL,12,12
2023,Ball St.,Kevin Meeder,So.,OL,10,2
2023,Ball St.,Damon Kaylor,Sr.,OL,12,11
2023,Ball St.,Ethan Crowe,Sr.,OL,7,7
2023,Ball St.,Taran Tyo,Fr.,OL,12,12
2023,Baylor,Coleton Price,Fr.,OL,8,6
2023,Baylor,Kaden Sieracki,Fr.,OL,12,7
2023,Baylor,Alvin Ebosele,Fr.,OL,11,11
2023,Baylor,Tate Williams,So.,OL,8,1
2023,Baylor,Gavin Byers,Sr.,OL,12,11
2023,Baylor,Campbell Barrington,Jr.,OL,12,12
2023,Baylor,Clark Barrington,Sr.,OL,11,11
2023,Boise St.,Roger Carreon,Fr.,OL,14,7
2023,Boise St.,Kage Casey,Fr.,OL,14,14
2023,Boise St.,Mason Randolph,So.,OL,11,11
2023,Boise St.,Ben Dooley,Sr.,OL,10,10
2023,Boise St.,Garrett Curran,Sr.,OL,13,13
2023,Boise St.,Ethan Carde,Sr.,OT,13,1
2023,Boise St.,Cade Beresford,Sr.,OL,14,14
2023,Boston College,Ozzy Trapilo,Sr.,OL,12,12
2023,Boston College,Drew Kendall,Jr.,OL,13,13
2023,Boston College,Christian Mahogany,Sr.,OG,12,12
2023,Boston College,Kyle Hergel,Jr.,OL,13,13
2023,Boston College,Logan Taylor,Jr.,OL,13,13
2023,Boston College,Jack Conley,Sr.,OL,13,5
2023,Bowling Green,Cedric Dunbar II,Sr.,OT,12,1
2023,Bowling Green,Kameren Stewart,Sr.,OT,13,13
2023,Bowling Green,Alex Padgett,So.,OG,13,13
2023,Bowling Green,Nate Pabst,So.,OT,13,13
2023,Bowling Green,Alex Wollschlaeger,Jr.,OT,13,13
2023,Bowling Green,Tunde Fatukasi,Jr.,OT,9,7
2023,Bowling Green,Jake Burns,Jr.,OG,11,5
2023,Buffalo,Nicholas Fronczak,So.,OL,6,1
2023,Buffalo,Gabe Wallace,Sr.,OL,12,12
2023,Buffalo,Caelan Shepard,Sr.,OL,12,12
2023,Buffalo,Isaiah Wright,Jr.,OL,11,11
2023,Buffalo,Dom Polizzi,Sr.,OL,10,3
2023,Buffalo,Tyler Doty,Jr.,OL,12,12
2023,Buffalo,Sidney Walker,Sr.,OL,7,3
2023,Buffalo,Trevor Brock,So.,OL,11,7
2023,California,Sioape Vatikani,So.,OL,12,11
2023,California,Bastian Swinney,So.,OL,12,2
2023,California,Brian Driscoll,Jr.,OL,13,13
2023,California,T.J. Session,Jr.,OL,13,13
2023,California,Matthew Wykoff,So.,OL,13,12
2023,California,Barrett Miller,Sr.,OL,13,13
2023,California,Matthew Cindric,Sr.,OL,1,1
2023,Central Mich.,Keegan Smith,So.,OL,11,11
2023,Central Mich.,Cade Klimczak,Jr.,OL,10,3
2023,Central Mich.,Davis Heinzen,So.,OL,12,12
2023,Central Mich.,Brayden Swartout,Jr.,OL,12,12
2023,Central Mich.,Deiyantei Powell-Woods,Sr.,OL,10,10
2023,Central Mich.,Dominic Serapiglia III,Jr.,OL,12,12
2023,Charlotte,Kendall Stanley,Fr.,OL,1,1
2023,Charlotte,Isaiah Bullerdick,Fr.,OL,4,3
2023,Charlotte,Jonny King,Jr.,OL,7,7
2023,Charlotte,Johnathan Bass,Sr.,OL,10,1
2023,Charlotte,Jasper Parks,Sr.,OL,10,10
2023,Charlotte,Tank Green,So.,OL,9,7
2023,Charlotte,Kevin Williams,Sr.,OL,11,11
2023,Charlotte,Jordan Daniels,Jr.,OL,4,3
2023,Charlotte,Lucas Gramlick,Sr.,OL,11,10
2023,Cincinnati,John Williams,Jr.,OL,12,12
2023,Cincinnati,Gavin Gerhardt,Jr.,OL,12,11
2023,Cincinnati,Dartanyan Tinsley,Sr.,OL,12,12
2023,Cincinnati,Trevor Radosevich,Sr.,OL,7,1
2023,Cincinnati,Deondre Buford,Jr.,OL,12,12
2023,Cincinnati,Luke Kandra,Jr.,OL,12,12
2023,Clemson,Collin Sadler,Fr.,OL,13,5
2023,Clemson,Marcus Tate,Jr.,OL,8,8
2023,Clemson,Blake Miller,So.,OL,13,13
2023,Clemson,Trent Howard,Jr.,OL,10,3
2023,Clemson,Mitchell Mayes,Sr.,OL,9,5
2023,Clemson,Tristan Leigh,So.,OL,13,11
2023,Clemson,Walker Parks,Sr.,OL,2,2
2023,Clemson,Harris Sewell,Fr.,OL,10,5
2023,Clemson,Will Putnam,Sr.,OL,13,13
2023,Coastal Carolina,Thomas Johnson,So.,OL,5,4
2023,Coastal Carolina,Will McDonald,Sr.,OL,13,13
2023,Coastal Carolina,Nick Del Grande,Fr.,OL,12,12
2023,Coastal Carolina,Zovon Lindsay,Sr.,OL,13,13
2023,Coastal Carolina,Dillon Luther,Sr.,OL,13,11
2023,Coastal Carolina,Zac Elam,Jr.,OL,12,9
2023,Coastal Carolina,Joseph Hanson,Fr.,OL,5,1
2023,Coastal Carolina,Evan Jumper,Sr.,OL,8,2
2023,Colorado,Gerard Christian-Lichtenhan,Jr.,OL,11,11
2023,Colorado,Van Wells,So.,C,11,10
2023,Colorado,Jack Wilty,So.,OL,11,1
2023,Colorado,Savion Washington,So.,OL,10,9
2023,Colorado,Isaiah Jatta,Jr.,OL,11,1
2023,Colorado,Hank Zilinskas,Fr.,OL,11,2
2023,Colorado,Jack Bailey,Jr.,OL,12,12
2023,Colorado,Reggie Young,Sr.,OT,6,2
2023,Colorado,Kareem Harden,Jr.,OL,11,4
2023,Colorado,Landon Bebee,Sr.,OL,11,8
2023,Colorado St.,Jacob Gardner,Sr.,OL,12,12
2023,Colorado St.,Saveyon Henderson,Jr.,OL,12,12
2023,Colorado St.,Drew Moss,Jr.,OL,12,12
2023,Colorado St.,Drew Cannon,Sr.,OL,12,12
2023,Colorado St.,Oliver Jervis,Sr.,OL,12,12
2023,Duke,Brian Parker II,So.,OL,12,7
2023,Duke,Justin Pickett,Jr.,OT,10,7
