season,school,player_name,class_year,position,gp,gs
2019,Air Force,Scott Hattok,Sr.,OL,13,13
2019,Air Force,Christopher Mitchell,Sr.,OL,13,8
2019,Air Force,Rhett Myers,Sr.,OL,9,2
2019,Air Force,Connor Vikupitz,Sr.,OL,13,13
2019,Air Force,Adam Jewell,Jr.,OL,8,1
2019,Air Force,Parker Ferguson,Jr.,OL,13,12
2019,Air Force,Kyle Krepsz,Jr.,OL,4,4
2019,Air Force,Nolan Laufenberg,Jr.,OL,13,12
2019,Air Force,Colin Marquez,Sr.,OL,7,2
2019,Akron,Brandon Council,Jr.,OL,11,11
2019,Akron,Austin Sample,Jr.,OL,10,1
2019,Akron,Trevor Brown,Sr.,OL,9,9
2019,Akron,Hunter Corne,So.,OL,11,11
2019,Akron,"Shawn Muldowney, II",So.,OL,10,3
2019,Akron,Bryce Petersen,Jr.,OL,11,11
2019,Akron,Eric Bentley,Fr.,OL,10,4
2019,Akron,Landon Forman,Jr.,OL,8,7
2019,Akron,Xavior Gray,Fr.,OL,4,2
2019,Alabama,Deonte Brown,Jr.,OL,9,8
2019,Alabama,Chris Owens,Jr.,OL,11,4
2019,Alabama,Alex Leatherwood,Jr.,OL,13,13
2019,Alabama,Kendall Randolph,So.,OL,13,3
2019,Alabama,Jedrick Wills Jr.,Jr.,OL,13,13
2019,Alabama,Matt Womack,Sr.,OL,10,1
2019,Alabama,Landon Dickerson,Jr.,OL,13,13
2019,Alabama,Evan Neal,Fr.,OL,13,13
2019,App State,Victor Johnson,Sr.,OL,13,12
2019,App State,Ryan Neuzil,Jr.,OL,13,13
2019,App State,Cole Garrison,Jr.,OL,11,1
2019,App State,Noah Hannon,Jr.,OL,13,13
2019,App State,Baer Hunter,Jr.,OL,13,12
2019,App State,Cooper Hodges,Fr.,OL,13,13
2019,Arizona,Cody Creason,Sr.,OL,7,7
2019,Arizona,Steven Bailey,Sr.,OL,3,1
2019,Arizona,Bryson Cain,Jr.,OL,11,4
2019,Arizona,Jon Jacobs,Jr.,OL,10,2
2019,Arizona,Josh McCauley,Jr.,OL,10,10
2019,Arizona,Edgar Burrola,So.,OL,11,6
2019,Arizona,Robert Congel,So.,OL,10,8
2019,Arizona,Donovan Laie,So.,OL,12,12
2019,Arizona,Josh Donovan,Jr.,OL,3,1
2019,Arizona,Paiton Fears,So.,OL,11,7
2019,Arizona,Jordan Morgan,Fr.,OL,6,2
2019,Arizona St.,Steven Miller,Sr.,OL,13,13
2019,Arizona St.,Alex Losoya,Sr.,OL,13,13
2019,Arizona St.,Cohl Cabral,Sr.,OL,13,13
