season,school,player_name,class_year,position,gp,gs
2022,Air Force,Adam Karas,Jr.,OT,13,8
2022,Air Force,Ethan Jackman,Jr.,OL,12,1
2022,Air Force,Everett Smalley,Jr.,OL,13,13
2022,Air Force,Thor Paglialong,Jr.,OL,13,13
2022,Air Force,Kaleb Holcomb,Jr.,OT,13,5
2022,Air Force,Wesley Ndago,Jr.,OL,12,12
2022,Air Force,Isaac Cochran,Sr.,OL,13,13
2022,Akron,Ronan Chambers,So.,OL,11,1
2022,Akron,Anthony Whigan,Sr.,OL,10,10
2022,Akron,Brian Kilbane,Fr.,OL,8,1
2022,Akron,Max Banes,Jr.,OL,8,7
2022,Akron,Xavior Gray,So.,OL,3,1
2022,Akron,Jordan Daniels,So.,OL,6,4
2022,Akron,Nate Williams,So.,OL,11,11
2022,Akron,Alex Robarge,So.,OL,11,6
2022,Akron,Owen Murphy,So.,OL,1,1
2022,Akron,Tony Georges,So.,OL,11,9
2022,Akron,Ka'Marii Landers,Fr.,OL,7,5
2022,Alabama,Emil Ekiyor Jr.,Sr.,OL,13,12
2022,Alabama,Javion Cohen,Jr.,OL,12,11
2022,Alabama,Tyler Booker,Fr.,OL,12,1
2022,Alabama,Seth McLaughlin,So.,OL,11,8
2022,Alabama,Darrian Dalcourt,Sr.,OL,7,5
2022,Alabama,JC Latham,So.,OL,13,13
2022,Alabama,Tyler Steen,Sr.,OL,13,13
2022,Alabama,Kendall Randolph,Sr.,OL,13,3
2022,App State,Isaiah Helms,Jr.,OL,12,12
2022,App State,Troy Everett,Fr.,OL,10,6
2022,App State,Anderson Hardy,Jr.,OL,12,12
2022,App State,Cooper Hodges,Jr.,OL,12,12
2022,App State,Damion Daley,Jr.,OL,12,12
2022,App State,Bucky Williams,Jr.,OL,12,6
2022,Arizona,Josh Donovan,Sr.,OL,12,8
2022,Arizona,Jonah Savaiinaea,Fr.,OL,12,12
2022,Arizona,Wendell Moe Jr.,Fr.,OL,4,3
2022,Arizona,Paiton Fears,Sr.,OL,12,12
2022,Arizona,Sam Langi,Sr.,OL,10,2
2022,Arizona,Josh Baker,So.,OL,12,12
2022,Arizona,Jordan Morgan,Jr.,OL,10,10
2022,Arizona St.,LaDarius Henderson,Sr.,OL,6,6
2022,Arizona St.,Des Holmes,Sr.,OL,10,10
2022,Arizona St.,Isaia Glass,So.,OL,11,11
2022,Arizona St.,Ben Scott,Jr.,OL,10,10
2022,Arizona St.,Ben Bray,So.,OL,5,1
2022,Arizona St.,Chris Martinez,Sr.,OL,11,11
2022,Arizona St.,Joey Ramos,Jr.,OL,2,1
2022,Arizona St.,Emmit Bohle,Sr.,OL,12,7
2022,Arkansas,Beaux Limmer,Jr.,OL,13,13
2022,Arkansas,Ricky Stromberg,Sr.,OL,12,12
2022,Arkansas,Ty'Kieast Crawford,Jr.,OL,10,2
2022,Arkansas,Luke Jones,Sr.,OL,13,13
2022,Arkansas,Brady Latham,Jr.,OL,12,12
2022,Arkansas,Dalton Wagner,Sr.,OL,12,12
2022,Arkansas St.,Mehki Butler,So.,OL,12,12
2022,Arkansas St.,Aleric Watson,Fr.,OL,4,2
2022,Arkansas St.,Ethan Miner,So.,OL,12,12
2022,Arkansas St.,Noah Smith,Fr.,OL,11,2
2022,Arkansas St.,Makilan Thomas,Fr.,OL,12,12
2022,Arkansas St.,Ernesto Ramirez,Sr.,OL,12,6
2022,Arkansas St.,Robert Holmes,Jr.,OL,3,3
2022,Arkansas St.,Jordan Rhodes,Sr.,OL,11,11
2022,Army West Point,Connor Finucane,Jr.,OL,12,12
2022,Army West Point,Sam Barczak,Sr.,OL,12,3
2022,Army West Point,Jackson Filipowicz,Jr.,OL,11,11
2022,Army West Point,Shayne Buckingham,Sr.,OL,10,7
2022,Army West Point,David Hayward,Jr.,OL,9,2
2022,Army West Point,Will Jeffcoat,So.,OL,12,2
2022,Army West Point,Simon Dellinger,Jr.,OL,11,4
2022,Army West Point,Connor Bishop,Sr.,OL,12,12
2022,Army West Point,Jordyn Law,Jr.,OL,8,7
2022,Auburn,Tate Johnson,Jr.,OL,4,4
2022,Auburn,Jeremiah Wright,Jr.,OL,12,1
2022,Auburn,Keiondre Jones,Jr.,OL,12,2
2022,Auburn,Kilian Zierer,Sr.,OL,12,12
2022,Auburn,Kameron Stutts,Sr.,OL,12,11
2022,Auburn,Alec Jackson,Sr.,OL,12,6
2022,Auburn,Brandon Council,Sr.,OL,12,12
2022,Auburn,Austin Troxell,Sr.,OL,8,8
2022,Auburn,Brenden Coffey,Sr.,OL,9,4
2022,BYU,Joe Tukuafu,Sr.,OL,10,3
2022,BYU,Clark Barrington,Jr.,OL,13,13
2022,BYU,Blake Freeland,Jr.,OL,13,13
2022,BYU,Harris LaChance,Jr.,OL,12,12
2022,BYU,Connor Pay,So.,OL,12,12
2022,BYU,Kingsley Suamataia,Fr.,OL,12,12
2022,Ball St.,Corey Stewart,Jr.,OL,9,9
2022,Ball St.,Damon Kaylor,So.,OL,12,11
2022,Ball St.,Joseph Boggs,Sr.,OL,10,10
2022,Ball St.,Seth Schmidt,Jr.,OL,10,4
2022,Ball St.,Ethan Crowe,Jr.,OL,12,12
2022,Ball St.,Tommy Lorincz,Jr.,OL,9,3
2022,Ball St.,Jaylen Turner,Sr.,OL,11,11
2022,Baylor,Micah Mazzccua,So.,OL,11,10
2022,Baylor,Ryan Lengyel,Fr.,OL,2,1
2022,Baylor,Grant Miller,Sr.,OL,12,12
2022,Baylor,Mose Jeffery,Sr.,OL,13,4
2022,Baylor,Connor Galvin,Sr.,OL,13,13
2022,Baylor,Gavin Byers,Jr.,OL,13,8
2022,Baylor,Khalil Keith,Sr.,OL,6,5
2022,Baylor,Jacob Gall,Sr.,OL,13,13
2022,Boise St.,Ben Dooley,Jr.,OL,6,2
2022,Boise St.,Mason Randolph,Fr.,OL,10,10
2022,Boise St.,Kekaniokoa Holomalia-Gonzalez,Sr.,OL,10,8
2022,Boise St.,Will Farrar,Sr.,OL,14,10
2022,Boise St.,Garrett Curran,Sr.,OL,12,11
2022,Boise St.,Cade Beresford,Sr.,OL,13,13
2022,Boise St.,John Ojukwu,Sr.,OL,14,14
2022,Boise St.,Roger Carreon,Fr.,OL,1,1
2022,Boston College,Kevin Cline,Jr.,OL,2,2
2022,Boston College,Dwayne Allick,Jr.,OL,12,11
2022,Boston College,Jackson Ness,Sr.,OL,10,7
2022,Boston College,Finn Dirstine,Sr.,OL,4,4
2022,Boston College,Jack Conley,Sr.,OL,12,12
2022,Boston College,Ozzy Trapilo,Jr.,OL,10,10
2022,Boston College,Nick Thomas,So.,OL,7,3
2022,Boston College,Drew Kendall,So.,OL,11,11
2022,Boston College,Jude Bowry,Fr.,OL,7,2
2022,Bowling Green,Cade Zimmerly,So.,OG,3,2
2022,Bowling Green,Jalen Grant,Jr.,OG,13,12
2022,Bowling Green,Alex Wollschlaeger,So.,OT,12,12
2022,Bowling Green,Jeremiah Banks-Wall,Jr.,OT,3,1
2022,Bowling Green,Jakari Robinson,Sr.,C,10,9
2022,Bowling Green,Bronson Warner,So.,OG,13,13
2022,Bowling Green,Cedric Dunbar II,Jr.,OT,8,3
2022,Bowling Green,Kameren Stewart,Jr.,OT,12,9
2022,Bowling Green,Tunde Fatukasi,So.,OT,10,4
2022,Buffalo,Dom Polizzi,Sr.,OL,9,1
2022,Buffalo,Jack Hasz,Sr.,OL,12,12
2022,Buffalo,Tyler Doty,Jr.,OL,13,10
2022,Buffalo,Isaiah Wright,Fr.,OL,13,13
2022,Buffalo,Nick Hartnett,Jr.,OL,13,3
2022,Buffalo,Gabe Wallace,Sr.,OL,12,12
2022,Buffalo,Desmond Bessent,Sr.,OL,13,13
2022,California,Brayden Rohme,Jr.,OL,10,9
2022,California,Brian Driscoll,Jr.,OL,12,12
2022,California,Ben Coleman,Jr.,OL,11,11
2022,California,Spencer Lovell,Sr.,OL,3,3
2022,California,Sioape Vatikani,Fr.,OL,12,9
2022,California,Matthew Cindric,Sr.,OL,6,6
2022,California,Ender Aguilar,So.,OL,4,2
2022,California,Everett Johnson,Jr.,OL,9,1
2022,California,T.J. Session,Jr.,OL,11,7
2022,Central Mich.,Deiyantei Powell-Woods,Jr.,OL,11,11
2022,Central Mich.,Jamezz Kimbrough,Sr.,OL,11,11
2022,Central Mich.,Tyden Ferris,Jr.,OL,11,11
2022,Central Mich.,Brayden Swartout,So.,OL,12,11
2022,Central Mich.,Davis Heinzen,So.,OL,12,12
2022,Central Mich.,Cole Johnson,Sr.,OL,9,1
2022,Central Mich.,Cade Klimczak,So.,OL,1,1
2022,Charlotte,Jonny King,So.,OL,9,7
2022,Charlotte,Knox Boyd,Fr.,OL,4,1
2022,Charlotte,Jaxon Hughes,Jr.,OL,11,11
2022,Charlotte,Panda Askew,So.,OL,11,8
2022,Charlotte,Jon Jacobs,Sr.,OL,12,5
2022,Charlotte,Ashton Gist,Sr.,OL,12,12
2022,Charlotte,TJ Moore,Sr.,OL,2,2
2022,Charlotte,Matt Rosso,Jr.,OL,12,11
2022,Charlotte,Antonio Gaines,Fr.,OL,4,3
2022,Cincinnati,James Tunstall,Sr.,OL,13,13
2022,Cincinnati,Joe Huber,So.,OL,13,13
