season,school,player_name,class_year,position,gp,gs
2016,Air Force,Jackson Wilson,Sr.,OL,13,3
2016,Air Force,Dylan Vail,Sr.,OL,13,13
2016,Air Force,Alexander Norton,Jr.,OL,13,13
2016,Air Force,Allen Caunitz,Sr.,OL,9,5
2016,Air Force,Colin Sandor,Sr.,OL,11,10
2016,Air Force,Jake Barnhorst,Jr.,OL,12,7
2016,Air Force,JC Rast,Jr.,OL,13,13
2016,Akron,LaVonne Gauthney,Jr.,OL,2,2
2016,Akron,Jovann Letuli,Jr.,OL,11,11
2016,Akron,Kyle Ritz,So.,OL,12,12
2016,Akron,Logan Tuley-Tillman,Jr.,OL,12,12
2016,Akron,Stephen Ericksen,Jr.,OL,12,12
2016,Akron,Xavier Quigley,Jr.,OL,12,1
2016,Alabama,Jonah Williams,Fr.,OL,15,15
2016,Alabama,Brandon Greene,Sr.,OL,15,1
2016,Alabama,Korren Kirven,Sr.,OL,15,6
2016,Alabama,Alphonse Taylor,Sr.,OL,5,4
2016,Alabama,Ross Pierschbacher,So.,OL,15,15
2016,Alabama,Cam Robinson,Jr.,OL,15,15
2016,Alabama,Bradley Bozeman,Jr.,OL,15,15
2016,Alabama,Lester Cotton Sr.,So.,OL,12,5
2016,App State,Tobias Edge-Campbell,So.,OL,11,2
2016,App State,Victor Johnson,So.,OL,13,13
2016,App State,Colby Gossett,Jr.,OL,13,13
2016,App State,Parker Collins,Sr.,OL,13,13
2016,App State,Beau Nunn,Jr.,OL,10,10
2016,Arizona,Christian Boettcher,So.,OL,11,7
2016,Arizona,Gerhard de Beer,Jr.,OL,8,8
2016,Arizona,Layth Friekh,Jr.,OL,12,12
2016,Arizona,Jacob Alsadek,Jr.,OL,11,10
2016,Arizona,Freddie Tagaloa,Sr.,OL,9,7
2016,Arizona,Cody Creason,Fr.,OL,12,4
2016,Arizona,Nathan Eldridge,Fr.,OL,12,12
2016,Arizona St.,Stephon McCray,Sr.,OL,10,10
2016,Arizona St.,Sam Jones,So.,OL,7,7
2016,Arizona St.,Quinn Bailey,So.,OL,12,12
2016,Arizona St.,Evan Goodman,Sr.,OL,12,12
2016,Arizona St.,Steven Miller,Fr.,OL,11,3
2016,Arizona St.,Zach Robertson,Fr.,OL,10,5
2016,Arizona St.,A.J. McCollum,Jr.,OL,10,8
2016,Arizona St.,Tyler McClure,Jr.,OL,6,2
2016,Arizona St.,Marshal Nathe,Fr.,OL,1,1
2016,Arkansas,Dan Skipper,Sr.,OL,13,13
2016,Arkansas,Johnny Gibson Jr.,So.,OL,13,5
2016,Arkansas,Frank Ragnow,Jr.,OL,13,13
2016,Arkansas,Brian Wallace,So.,OL,12,10
2016,Arkansas,Colton Jackson,Fr.,OL,12,3
2016,Arkansas,Hjalte Froholdt,So.,OL,13,13
2016,Arkansas,Jake Raulerson,Jr.,OL,11,8
2016,Arkansas St.,Joseph Bacchus,Sr.,OL,12,12
2016,Arkansas St.,Colton Jackson,Sr.,OL,10,10
2016,Arkansas St.,Devin Mondie,Sr.,OL,11,11
2016,Arkansas St.,Austin Moreton,Sr.,OL,12,12
2016,Arkansas St.,Jemar Clark,Sr.,OL,12,12
2016,Arkansas St.,Troy Elliott,Fr.,OL,8,2
2016,Arkansas St.,Brandon Berg,Sr.,OL,6,1
2016,Army West Point,Mike Johnson,Fr.,OL,7,1
2016,Army West Point,Jaxson Deaton,Fr.,OL,11,2
2016,Army West Point,Mike Houghton,Jr.,OL,11,8
2016,Army West Point,Josh Boylan,Jr.,OL,6,2
2016,Army West Point,Brett Toth,Jr.,OL,13,12
2016,Army West Point,Bryce Holland,Jr.,OL,13,13
2016,Army West Point,Colby Enegren,Sr.,OL,12,5
2016,Army West Point,Tim Gant,So.,OL,5,1
2016,Army West Point,Rick Kurz,So.,OL,11,9
2016,Auburn,Darius James,Jr.,OL,13,9
2016,Auburn,Alex Kozan,Sr.,OL,13,13
2016,Auburn,Robert Leff,Sr.,OL,13,13
2016,Auburn,Austin Golson,Jr.,OL,13,13
2016,Auburn,Braden Smith,Jr.,OL,13,13
