season,school,player_name,class_year,position,gp,gs
2024,Air Force,Tyler Lawrence,So.,OL,6,3
2024,Air Force,Alec Falk,So.,OL,12,6
2024,Air Force,Nathan Elwood,So.,OL,7,1
2024,Air Force,Samuel Floysand,Jr.,OL,6,4
2024,Air Force,Costen Cooley,Jr.,OG,12,12
2024,Air Force,Jackson Kohal,Sr.,OL,6,3
2024,Air Force,Trevor Tate,Jr.,OL,10,6
2024,Air Force,Michael McAnninch,Sr.,OL,12,12
2024,Air Force,Jace Sutulovich,Jr.,OG,7,4
2024,Air Force,Alex Moore,So.,OL,12,12
2024,Akron,Dayne Shor,Jr.,OL,11,1
2024,Akron,Jerrod Burrell,Jr.,OL,9,3
2024,Akron,Laurence Seymore,Jr.,OL,7,5
2024,Akron,Da'Quan Thomas,Sr.,OL,11,3
2024,Akron,Tyhler Williams,So.,OL,11,11
2024,Akron,Jayvin Q. James,So.,OL,12,9
2024,Akron,Keylen Davis,So.,OL,12,11
2024,Akron,Delvin Morris,So.,OL,12,7
2024,Akron,Joshua Blanchard,Sr.,OL,12,10
2024,Alabama,Parker Brailsford,So.,OL,13,13
2024,Alabama,Geno VanDeMark,Jr.,OL,13,2
2024,Alabama,Elijah Pritchett,So.,OL,13,12
2024,Alabama,Jaeden Roberts,Jr.,OL,12,12
2024,Alabama,Wilkin Formby,Fr.,OL,9,2
2024,Alabama,Kadyn Proctor,So.,OL,11,11
2024,Alabama,Tyler Booker,Jr.,OL,13,13
2024,App State,Thomas Shrader,Jr.,OL,11,11
2024,App State,Garner Langlo,Jr.,OL,10,6
2024,App State,Jack Hollifield,Jr.,OL,11,11
2024,App State,Jayden Ramsey,Jr.,OL,9,7
2024,App State,Griffin Scroggs,So.,OL,10,5
2024,App State,Thornton Gentry,Jr.,OL,9,4
2024,App State,Markell Samuel,Jr.,OL,11,11
2024,Arizona,Leif Magnuson,Sr.,OL,2,1
2024,Arizona,Joey Capra,Sr.,OL,9,3
2024,Arizona,Rhino Tapa'atoutai,So.,OL,6,6
2024,Arizona,Wendell Moe Jr.,Jr.,OL,12,11
2024,Arizona,Jonah Savaiinaea,Jr.,OL,11,11
2024,Arizona,Josh Baker,Sr.,OL,11,11
2024,Arizona,Grayson Stovall,Jr.,OL,5,1
2024,Arizona,Ryan Stewart,Jr.,OL,6,4
2024,Arizona,Alexander Doost,So.,OL,12,9
2024,Arizona,Michael Wooten,So.,OL,8,3
2024,Arizona St.,Josh Atkins,Jr.,OL,14,14
2024,Arizona St.,Emmit Bohle,Sr.,OL,14,1
2024,Arizona St.,Ben Coleman,Sr.,OL,14,14
2024,Arizona St.,Cade Briggs,Sr.,OL,7,4
2024,Arizona St.,Max Iheanachor,Sr.,OL,14,14
2024,Arizona St.,Kyle Scott,Jr.,OL,13,9
2024,Arizona St.,Leif Fautanu,Sr.,OL,14,14
2024,Arkansas,E'Marion Harris,So.,OL,13,13
2024,Arkansas,Patrick Kutas,Jr.,OL,4,4
2024,Arkansas,Brooks Edmonson,So.,OL,13,1
2024,Arkansas,Joshua Braun,Sr.,OL,12,12
2024,Arkansas,Kobe Branham,Fr.,OL,5,1
2024,Arkansas,Keyshawn Blackstock,Jr.,OL,12,9
2024,Arkansas,Fernando Carmona,Jr.,OT,13,13
2024,Arkansas,Addison Nichols,So.,OL,12,12
2024,Arkansas St.,EJ Ndoma-Ogar,Jr.,OL,13,4
2024,Arkansas St.,Riley McGehee,Fr.,OL,7,1
2024,Arkansas St.,Mehki Butler,Sr.,OL,13,13
2024,Arkansas St.,Makilan Thomas,Jr.,OL,9,9
2024,Arkansas St.,Elijah Zollicoffer,Jr.,OL,11,11
2024,Arkansas St.,Noah Smith,Jr.,OL,13,13
2024,Arkansas St.,Jacob Bayer,Sr.,OL,12,12
2024,Arkansas St.,Mason Myers,Fr.,OL,9,1
