season,school,player_name,class_year,position,gp,gs
2021,Air Force,Adam Karas,So.,OT,10,2
2021,Air Force,Benjamin Mercer,Sr.,OL,4,4
2021,Air Force,Isaac Cochran,Sr.,OL,11,9
2021,Air Force,Thor Paglialong,So.,OL,9,4
2021,Air Force,Ryan Booth,Sr.,OL,10,4
2021,Air Force,Hawk Wimmer,Sr.,OL,13,13
2021,Air Force,Everett Smalley,So.,OL,13,12
2021,Air Force,Luke Hallstrom,So.,OL,8,5
2021,Air Force,Wesley Ndago,So.,OL,12,5
2021,Air Force,Kaleb Holcomb,So.,OT,10,8
2021,Akron,Tony Georges,So.,OL,10,9
2021,Akron,Alex Robarge,So.,OL,9,8
2021,Akron,Nate Williams,So.,OL,11,4
2021,Akron,Jordan Daniels,So.,OL,9,4
2021,Akron,Ryan Beckman,So.,OL,11,11
2021,Akron,Xavior Gray,So.,OL,10,5
2021,Akron,Ronan Chambers,So.,OL,8,5
2021,Akron,Owen Murphy,So.,OL,11,10
2021,Alabama,Seth McLaughlin,So.,OL,10,3
2021,Alabama,Damieon George Jr.,So.,OL,11,3
2021,Alabama,Kendall Randolph,Sr.,OL,15,4
2021,Alabama,Evan Neal,Jr.,OL,15,15
2021,Alabama,Javion Cohen,So.,OL,14,14
2021,Alabama,Tommy Brown,Jr.,OL,11,1
2021,Alabama,Darrian Dalcourt,Jr.,OL,11,11
2021,Alabama,Emil Ekiyor Jr.,Jr.,OL,15,14
2021,Alabama,Chris Owens,Sr.,OL,15,13
2021,App State,Isaiah Helms,Jr.,OL,13,12
2021,App State,Baer Hunter,Sr.,OL,14,14
2021,App State,Anderson Hardy,Jr.,OL,14,14
2021,App State,Cooper Hodges,Jr.,OL,14,14
2021,App State,Luke Smith,So.,OL,12,2
2021,App State,Damion Daley,Jr.,OL,14,14
2021,Arizona,Donovan Laie,Jr.,OL,10,10
2021,Arizona,Paiton Fears,Jr.,OL,12,12
2021,Arizona,Jordan Morgan,So.,OL,11,11
2021,Arizona,Josh McCauley,Sr.,OL,12,12
2021,Arizona,JT Hand,Fr.,OL,3,1
2021,Arizona,Josh Donovan,Jr.,OL,8,7
2021,Arizona,Josh Baker,Fr.,OL,12,7
2021,Arizona St.,LaDarius Henderson,So.,OL,11,11
2021,Arizona St.,Spencer Lovell,Jr.,OL,12,4
2021,Arizona St.,Dohnovan West,Jr.,OL,10,10
2021,Arizona St.,Ben Scott,So.,OL,12,12
2021,Arizona St.,Jarrett Bell,Jr.,OL,7,1
2021,Arizona St.,Henry Hattis,Sr.,OL,9,9
2021,Arizona St.,Kellen Diesch,Sr.,OL,11,11
2021,Arkansas,Ricky Stromberg,Jr.,OL,13,13
2021,Arkansas,Ty Clary,Sr.,OL,8,5
2021,Arkansas,Brady Latham,So.,OL,13,13
2021,Arkansas,Beaux Limmer,So.,OL,13,11
2021,Arkansas,Dalton Wagner,Sr.,OL,10,10
2021,Arkansas,Myron Cunningham,Sr.,OL,13,13
2021,Arkansas St.,Justin Dutton,Jr.,OL,1,1
2021,Arkansas St.,Wyatt Luebke,Jr.,OL,12,9
2021,Arkansas St.,Ethan Miner,Fr.,OL,11,11
2021,Arkansas St.,"Andre Harris, Jr.",Jr.,OL,12,12
2021,Arkansas St.,Ernesto Ramirez,Jr.,OL,9,3
2021,Arkansas St.,Jacob Still,Sr.,OL,11,7
2021,Arkansas St.,Ivory Scott,Sr.,OL,12,12
2021,Arkansas St.,Robert Holmes,Jr.,OL,3,3
2021,Arkansas St.,Christian Hoz,So.,OL,6,1
2021,Arkansas St.,Makilan Thomas,Fr.,OL,4,1
2021,Army West Point,Mason Kolinchak,Sr.,OL,9,8
2021,Army West Point,Connor Bishop,Jr.,OL,9,9
2021,Army West Point,Connor Finucane,So.,OL,13,13
2021,Army West Point,Noah Knapp,Sr.,OL,13,13
2021,Army West Point,Kamaron Holloway,Sr.,OL,11,2
2021,Army West Point,Dean Powell,Sr.,OL,12,6
2021,Army West Point,Zack Ward,Sr.,OL,11,2
2021,Army West Point,Jordyn Law,So.,OL,12,12
2021,Auburn,Austin Troxell,Sr.,OL,11,10
2021,Auburn,Tashawn Manning,Sr.,OL,11,3
2021,Auburn,Alec Jackson,Sr.,OL,11,1
2021,Auburn,Nick Brahms,Sr.,OL,12,12
2021,Auburn,Keiondre Jones,So.,OL,13,13
2021,Auburn,Brodarious Hamm,Sr.,OL,12,12
2021,Auburn,Jalil Irvin,Jr.,OL,10,1
2021,Auburn,Kilian Zierer,Jr.,OL,9,4
2021,Auburn,Brandon Council,Sr.,OL,10,9
2021,BYU,James Empey,Jr.,OL,7,7
2021,BYU,Blake Freeland,So.,OL,13,13
2021,BYU,Clark Barrington,So.,OL,13,13
2021,BYU,Joe Tukuafu,Jr.,OL,12,9
2021,BYU,Brayden Keim,So.,OL,3,2
2021,BYU,Harris LaChance,So.,OL,5,5
2021,BYU,Connor Pay,Fr.,OL,12,10
2021,BYU,Campbell Barrington,Fr.,OL,8,6
2021,Ball St.,Kevin Meeder,So.,OL,4,1
2021,Ball St.,Porter Haught,Jr.,OL,11,3
2021,Ball St.,Corey Stewart,So.,OL,12,9
2021,Ball St.,Curtis Blackwell,Sr.,OL,10,10
2021,Ball St.,Ethan Crowe,So.,OL,12,10
2021,Ball St.,Jaylen Turner,Jr.,OL,3,3
2021,Ball St.,Damon Kaylor,Fr.,OL,12,12
2021,Ball St.,Kaleb Slaven,Sr.,OL,5,5
2021,Ball St.,Anthony Todd,Sr.,OL,13,12
2021,Baylor,Jacob Gall,Sr.,OL,14,14
2021,Baylor,Grant Miller,Sr.,OL,14,14
2021,Baylor,Connor Galvin,Sr.,OL,14,14
2021,Baylor,Xavier Newman,Sr.,OL,14,14
2021,Baylor,Gavin Byers,So.,OL,13,8
2021,Baylor,Khalil Keith,Sr.,OL,12,6
2021,Boise St.,John Ojukwu,Sr.,OL,11,11
2021,Boise St.,Ben Dooley,So.,OL,11,11
2021,Boise St.,Garrett Curran,Jr.,OL,8,7
2021,Boise St.,Will Farrar,Sr.,OL,8,5
2021,Boise St.,Donte Harrington,Sr.,OL,11,4
2021,Boise St.,Jake Stetz,Sr.,OL,10,10
2021,Boise St.,Uzo Osuji,Sr.,OL,12,8
2021,Boston College,Ben Petrula,Sr.,OT,12,12
2021,Boston College,Christian Mahogany,Jr.,OG,11,11
2021,Boston College,Alec Lindstrom,Sr.,C,12,12
2021,Boston College,Tyler Vrabel,Sr.,OT,10,10
2021,Boston College,Jack Conley,Jr.,OL,11,2
2021,Boston College,Ozzy Trapilo,So.,OL,10,2
2021,Boston College,Zion Johnson,Sr.,OG,12,12
2021,Bowling Green,Alex Wollschlaeger,Fr.,OL,4,2
2021,Bowling Green,Jeremiah Banks-Wall,So.,OT,12,11
