season,school,player_name,class_year,position,gp,gs
2020,Air Force,Nicholas Noyen,Sr.,OL,5,5
2020,Air Force,Adam Jewell,Sr.,OL,5,5
2020,Air Force,Parker Ferguson,Sr.,OL,6,6
2020,Air Force,Kyle Krepsz,Sr.,OL,5,5
2020,Air Force,Nolan Laufenberg,Sr.,OL,5,5
2020,Air Force,Britton Beasley,Sr.,OL,4,1
2020,Air Force,Hawk Wimmer,Jr.,OL,5,1
2020,Air Force,George Silvanic,Sr.,OL,6,5
2020,Air Force,Kristopher Campbell,Jr.,OL,4,1
2020,Air Force,Ryan Booth,Jr.,OL,4,1
2020,Akron,Bryce Petersen,Sr.,OL,6,6
2020,Akron,Ryan Beckman,Fr.,OL,6,6
2020,Akron,Xavior Gray,Fr.,OL,6,6
2020,Akron,Owen Murphy,Fr.,OL,6,5
2020,Akron,Jordan Daniels,Fr.,OL,6,6
2020,Alabama,Deonte Brown,Sr.,OL,13,13
2020,Alabama,Chris Owens,Sr.,OL,11,3
2020,Alabama,Alex Leatherwood,Sr.,OL,13,13
2020,Alabama,Kendall Randolph,Jr.,OL,12,5
2020,Alabama,Emil Ekiyor Jr.,So.,OL,13,13
2020,Alabama,Landon Dickerson,Sr.,OL,12,11
2020,Alabama,Evan Neal,So.,OL,12,12
2020,App State,Ryan Neuzil,Sr.,OL,12,12
2020,App State,Cole Garrison,Sr.,OL,10,10
2020,App State,Noah Hannon,Sr.,OL,12,12
2020,App State,Baer Hunter,Sr.,OL,12,12
2020,App State,Cooper Hodges,So.,OL,11,11
2020,App State,Anderson Hardy,So.,OL,12,3
2020,App State,Lyle Hiers,Fr.,OL,11,1
2020,App State,Damion Daley,So.,OL,12,2
2020,Arizona,Josh McCauley,Sr.,OL,5,5
2020,Arizona,Tyson Gardner,Jr.,OL,3,1
2020,Arizona,Robert Congel,Jr.,OL,5,5
2020,Arizona,Donovan Laie,Jr.,OL,5,5
2020,Arizona,Josh Donovan,Sr.,OL,5,2
2020,Arizona,Paiton Fears,Jr.,OL,5,5
2020,Arizona,Jordan Morgan,So.,OL,2,2
2020,Arizona St.,Henry Hattis,Sr.,OL,4,4
2020,Arizona St.,Cade Cote,Sr.,OL,4,4
2020,Arizona St.,Dohnovan West,So.,OL,4,4
2020,Arizona St.,Ben Scott,Fr.,OL,4,4
2020,Arizona St.,Kellen Diesch,Sr.,OL,4,4
2020,Arkansas,Brady Latham,Fr.,OL,10,10
2020,Arkansas,Ty Clary,Sr.,OL,8,7
2020,Arkansas,Dalton Wagner,Jr.,OL,8,5
2020,Arkansas,Noah Gatlin,So.,OL,5,5
2020,Arkansas,Ricky Stromberg,So.,OL,9,8
2020,Arkansas,Myron Cunningham,Sr.,OL,10,10
2020,Arkansas,Beaux Limmer,Fr.,OL,7,5
2020,Arkansas St.,Ethan Miner,Fr.,OL,9,1
2020,Arkansas St.,Jarrett Horst,Jr.,OL,7,7
2020,Arkansas St.,Nour-Eddine Seidnaly,Sr.,OL,4,4
2020,Arkansas St.,Jacob Still,Sr.,OL,10,10
2020,Arkansas St.,Justin Dutton,Jr.,OL,7,2
2020,Arkansas St.,"Andre Harris, Jr.",Jr.,OL,8,7
2020,Arkansas St.,Wyatt Luebke,Jr.,OL,11,10
2020,Arkansas St.,Ivory Scott,Sr.,OL,11,11
2020,Arkansas St.,Ernesto Ramirez,Jr.,OL,6,1
2020,Arkansas St.,Avery Demmons,Jr.,OL,10,2
2020,Army West Point,JB Hunter,Sr.,OL,10,10
2020,Army West Point,Luke McCleery,Sr.,OL,11,8
2020,Army West Point,Kamaron Holloway,Jr.,OL,7,1
2020,Army West Point,Noah Knapp,Jr.,OL,9,2
2020,Army West Point,Mason Kolinchak,Jr.,OL,6,3
2020,Army West Point,Dean Powell,Jr.,OL,10,1
2020,Army West Point,Connor Bishop,So.,OL,11,10
2020,Army West Point,Jordyn Law,Fr.,OL,7,2
2020,Army West Point,Connor Finucane,Fr.,OL,10,1
2020,Army West Point,Mike Johnson,Sr.,OL,12,12
2020,Auburn,Tashawn Manning,Jr.,OL,11,11
2020,Auburn,Austin Troxell,Jr.,OL,8,4
2020,Auburn,Keiondre Jones,Fr.,OL,11,7
2020,Auburn,Nick Brahms,Jr.,OL,11,11
2020,Auburn,Brodarious Hamm,Jr.,OL,9,8
2020,Auburn,Alec Jackson,Jr.,OL,10,8
2020,Auburn,Brandon Council,Jr.,OL,5,5
2020,Auburn,Brenden Coffey,Jr.,OL,5,1
2020,BYU,Joe Tukuafu,Jr.,OL,9,4
2020,BYU,Chandon Herring,Sr.,OL,12,11
2020,BYU,Brady Christensen,Jr.,OL,12,12
2020,BYU,James Empey,Jr.,OL,8,8
2020,BYU,Tristen Hoge,Sr.,OL,8,7
2020,BYU,Clark Barrington,So.,OL,10,10
2020,BYU,Blake Freeland,So.,OL,11,8
2020,Ball St.,Porter Haught,So.,OL,2,1
2020,Ball St.,Kaleb Slaven,Sr.,OL,7,7
2020,Ball St.,Anthony Todd,Sr.,OL,8,8
2020,Ball St.,Curtis Blackwell,Sr.,OL,8,8
2020,Ball St.,Jaylen Turner,So.,OL,8,8
2020,Ball St.,Joseph Boggs,So.,OL,8,8
2020,Baylor,Khalil Keith,Jr.,OL,9,4
2020,Baylor,Ryan Miller,Sr.,OL,9,6
2020,Baylor,Jason Moore,Jr.,OL,9,9
2020,Baylor,Xavier Newman,Sr.,OL,5,4
2020,Baylor,Connor Galvin,Jr.,OL,8,8
2020,Baylor,Casey Phillips,So.,OL,8,2
2020,Baylor,Blake Bedier,Sr.,OL,8,8
2020,Baylor,Jake Burton,Sr.,OL,8,8
2020,Baylor,Mose Jeffery,So.,OL,4,2
2020,Boise St.,Donte Harrington,Sr.,OL,5,1
2020,Boise St.,Nick Crabtree,Sr.,OL,6,6
2020,Boise St.,John Ojukwu,Jr.,OL,7,7
2020,Boise St.,Jake Stetz,Sr.,OL,7,7
2020,Boise St.,Kekaniokoa Holomalia-Gonzalez,So.,OL,6,5
2020,Boise St.,Garrett Curran,So.,OL,7,7
2020,Boise St.,Uzo Osuji,Sr.,OL,7,1
2020,Boston College,Ben Petrula,Sr.,OL,11,11
2020,Boston College,Alec Lindstrom,Jr.,OL,11,11
2020,Boston College,Tyler Vrabel,Jr.,OL,11,11
2020,Boston College,Christian Mahogany,So.,OL,11,11
2020,Boston College,Zion Johnson,Sr.,OL,11,11
2020,Bowling Green,Jeremiah Banks-Wall,Fr.,OL,5,1
2020,Bowling Green,Tim Tanner-Blair,Sr.,OL,4,3
2020,Bowling Green,Joe Ware,Sr.,OL,4,4
2020,Bowling Green,Derek Downs,Jr.,OL,4,4
2020,Bowling Green,Sam Neverov,Jr.,OL,5,5
2020,Bowling Green,Cameron Stage,So.,OL,5,5
2020,Bowling Green,Jalen Grant,Fr.,OL,5,3
2020,Buffalo,Kayode Awosika,Sr.,OL,7,7
2020,Buffalo,Jake Fuzak,Sr.,OL,7,7
2020,Buffalo,Jack Klenk,Sr.,OL,7,6
2020,Buffalo,Jacob Gall,Jr.,OL,7,7
2020,Buffalo,Mike Novitsky,So.,OL,7,7
2020,California,Jake Curhan,Sr.,OL,2,2
2020,California,Valentino Daltoso,Sr.,OL,1,1
2020,California,Michael Saffell,Sr.,OL,4,4
2020,California,Matthew Cindric,So.,OL,4,3
2020,California,Will Craig,So.,OL,2,2
2020,California,Brandon Mello,So.,OL,3,2
2020,California,McKade Mettauer,So.,OL,4,4
2020,California,Brayden Rohme,Fr.,OL,4,2
2020,Central Mich.,Danny Motowski,So.,OL,4,4
2020,Central Mich.,Derek Smith,Sr.,OL,6,6
2020,Central Mich.,Jamezz Kimbrough,Jr.,OL,6,6
2020,Central Mich.,Tyden Ferris,So.,OL,6,4
2020,Central Mich.,Bernhard Raimann,Jr.,OL,6,6
2020,Central Mich.,Deiyantei Powell-Woods,So.,OL,3,3
2020,Central Mich.,Cade Klimczak,Fr.,OL,6,1
2020,Charlotte,Jaelin Fisher,Sr.,OL,5,5
2020,Charlotte,D'Mitri Emmanuel,Jr.,OL,6,6
2020,Charlotte,Jonathan Timmons,Sr.,OL,2,2
2020,Charlotte,Jon Jacobs,Sr.,OL,6,5
2020,Charlotte,Ty'Kieast Crawford,Fr.,OL,6,2
2020,Charlotte,Hunter Kelly,Sr.,OL,6,4
2020,Charlotte,Panda Askew,Fr.,OL,5,1
2020,Charlotte,Ashton Gist,Jr.,OL,6,6
